"Id","MSSubClass","LotShape","LandContour","LandSlope","BldgType","HouseStyle","OverallQual","OverallCond","LotFrontage","LotArea","GarageArea","GrLivArea","TotalBsmtSF","SalePrice","Target","Irregular_OHE","Moderately Irregular_OHE","Regular_OHE","Slightly irregular_OHE","Near Flat_OHE","Banked_OHE","Depression_OHE","Hillside_OHE","Gentle slope_OHE","Moderate Slope_OHE","Severe Slope_OHE","Ordinal_OverallQual","Ordinal_OverallCond","MeanEncoding_MSSubClass","MeanEncoding_BldgType","MeanEncoding_HouseStyle","MeanNorm_LotFrontage","MeanNorm_LotArea","MeanNorm_GarageArea","MeanNorm_GrLivArea","MeanNorm_TotalBsmtSF","MeanNorm_SalePrice","Std_LotFrontage","Std_LotArea","Std_GarageArea","Std_GrLivArea","Std_TotalBsmtSF","Std_SalePrice"
23,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average",75,9742,534,1795,1777,230000,1,0,0,1,0,1,0,0,0,1,0,0,8,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.01695219736977252,-0.003621622763756019,0.04303234345112738,0.05266320673885888,0.11776932044929715,0.06815553966058749,0.22475647169178412,-0.0776282452616046,0.28539981882030424,0.5319633428537229,1.6402138470322627,0.6177902549462791
24,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse End Unit","One story","Average","Good",44,4224,572,1060,1040,129900,1,0,0,1,0,1,0,0,0,1,0,0,5,7,0.5402298850574713,0.5526315789473685,0.4889807162534435,-0.08921218619187131,-0.02941329819435734,0.06983065092644473,-0.08580702687078694,-0.002852610810931982,-0.07085293138510061,-1.1827974723883574,-0.6304639867616274,0.46313199617273254,-0.8667568057689478,-0.03972929226758133,-0.6422405392441612
25,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Very Good",70.04995836802665,8246,270,1060,1060,154000,1,0,0,0,1,1,0,0,0,1,0,0,5,8,0.4906716417910448,0.48688524590163934,0.4889807162534435,7.786769706960002e-16,-0.010614074094705562,-0.14314537164055105,-0.08580702687078694,0.0004207116113266104,-0.03738535743703784,1.0323893988713526e-14,-0.2275090479589649,-0.9493710975228816,-0.8667568057689478,0.005859395366064371,-0.3388764819016077
26,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average",110,14230,890,1600,1566,256300,0,0,0,1,0,1,0,0,0,1,0,0,8,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.13681521106840266,0.01735573122909261,0.29409017137778465,0.015926205985279378,0.083235768894469,0.10467824484042362,1.813930279524202,0.37201416283047634,1.9504696908588428,0.16087432383138173,1.1592531924973006,0.9488472967765348
27,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Good",60,7200,576,900,900,134800,0,0,0,1,0,1,0,0,0,1,0,0,5,7,0.4906716417910448,0.48688524590163934,0.4889807162534435,-0.03441766564392611,-0.015503181108190336,0.07265152539753077,-0.11595020697628806,-0.02576586776674213,-0.06404832091433266,-0.4563180173792521,-0.33230538460431175,0.48184064642035657,-1.1712401034283046,-0.3588501057031012,-0.580560710157916
28,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average",98,11478,772,1704,1704,306000,0,0,0,1,0,1,0,0,0,1,0,0,8,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.09571932065744375,0.004492612203174734,0.21087437448074656,0.03551927305385511,0.10582169360805328,0.1736964367582128,1.269070688267373,0.09629760599682956,1.398564508553934,0.3587884673099637,1.473815137169456,1.574456991794166
29,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average",47,16321,319,1600,1484,207500,0,0,0,0,1,1,0,0,0,1,0,0,5,6,0.4906716417910448,0.48688524590163934,0.4889807162534435,-0.07893821358913158,0.027129271157578905,-0.10858965936974709,0.015926205985279378,0.06981514696320877,0.036909879335632625,-1.0465825745741502,0.5815066484188323,-0.7201901319894872,0.16087432383138173,0.9723395731993533,0.33456654995841795
30,"1-STORY 1945 & OLDER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Below Average","Above Average",60,6324,240,520,520,68500,1,0,0,0,1,1,0,0,0,1,0,0,3,6,0.4927536231884058,0.48688524590163934,0.4889807162534435,-0.03441766564392611,-0.019597691379521755,-0.16430193017369632,-0.18754025972685326,-0.08795899378965538,-0.15611886667186634,-0.4563180173792521,-0.4200698118522313,-1.0896859743800618,-1.8943879353692774,-1.2250351707423695,-1.4151265608554804
31,"2-STORY 1945 & OLDER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Below Average","Below Average",50,8500,250,1317,649,40000,0,0,0,1,0,1,0,0,0,1,0,0,3,3,0.4,0.48688524590163934,0.49887640449438203,-0.06866424098639186,-0.009426853079958782,-0.1572497439959812,-0.03738954382632575,-0.06684606416608746,-0.19569670308347584,-0.9103676767599429,-0.20206137156516177,-1.0429143487610018,-0.37768050890360577,-0.9309881355053548,-1.7738765871734379
32,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average",70.04995836802665,8544,271,1228,1228,149350,0,0,0,0,1,1,0,0,0,1,0,0,5,6,0.4906716417910448,0.48688524590163934,0.4889807162534435,7.786769706960002e-16,-0.00922119274669556,-0.14244015302277954,-0.05415668776001075,0.027916619958298788,-0.04384279390419518,1.0323893988713526e-14,-0.1976531126622982,-0.9446939349609755,-0.547049343226623,0.38880437148868824,-0.39740938093243233
33,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average",85,11049,484,1234,1234,179900,1,0,0,1,0,1,0,0,0,1,0,0,8,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.05119877271223827,0.002487423953858321,0.007771412562551922,-0.05302631850605446,0.028898616684976366,-0.0014181306629786818,0.6788061310724749,0.05331708169391006,0.05154169072500391,-0.5356312195643972,0.40248097777878195,-0.012854528160025193
34,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Average",70,10552,447,1700,1398,165500,1,0,0,0,1,1,0,0,0,1,0,0,5,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,-0.00017109030146035523,0.00016439700768056508,-0.018321676294993917,0.034765693551217586,0.05573986054749682,-0.021415353270949795,-0.0022683579985612887,0.0035237936320196323,-0.12151332406551835,0.3511763848684798,0.7763082163746767,-0.1941176993522564
35,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse End Unit","One story","Excellent","Average",60,7313,556,1561,1561,277500,0,0,0,1,0,1,0,0,0,1,0,0,9,5,0.5402298850574713,0.5526315789473685,0.4889807162534435,-0.03441766564392611,-0.014975007979582516,0.058547153042100585,0.008578805834563477,0.08241743828890435,0.13411860034660333,-0.4563180173792521,-0.3209841742401395,0.38829739518223644,0.0866565200269135,1.1478560205888892,1.2157069654762085
36,"2-STORY 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Very Good","Average",108,13418,691,2452,1117,309000,1,0,0,1,0,1,0,0,0,1,0,0,8,5,0.5117056856187291,0.48688524590163934,0.49887640449438203,0.12996589599990951,0.013560363260689516,0.15375166644125432,0.1764386400470729,0.009749680514763598,0.17786252480154013,1.7231203476480639,0.29066174853217647,1.0197143410395473,1.7822478838674574,0.1357871551219546,1.6122201524592141
37,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Average",112,10859,672,1097,1097,145000,1,0,0,1,0,1,0,0,0,1,0,0,5,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.14366452613689581,0.001599345242039863,0.14035251270359564,-0.0788364164713898,0.006476358092505007,-0.04988362156701979,1.9047402114003402,0.034281418249726595,0.9308482523633332,-0.7963450431852215,0.09019846748830891,-0.4521659638967522
38,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average",74,8532,498,1297,1297,153000,0,0,0,1,0,1,0,0,0,1,0,0,5,6,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.013527539835525947,-0.00927728192849462,0.01764447321135305,-0.041157441339513386,0.03920958231509093,-0.03877405345148028,0.17935150575371503,-0.1988553650903519,0.11702196659168801,-0.4157409211110254,0.5460853438247659,-0.3514642021232904
39,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Good",68,7922,246,1057,1057,109000,1,0,0,1,0,1,0,0,0,1,0,0,5,7,0.4906716417910448,0.48688524590163934,0.4889807162534435,-0.007020405369953506,-0.012128482003280195,-0.16007061846706727,-0.08637221149776508,-7.028675201217844e-05,-0.09987667808694757,-0.09307828987469945,-0.2599698635164146,-1.0616229990086257,-0.8724658676000607,-0.0009789077789824833,-0.9053238918773302
40,"DUPLEX - ALL STYLES AND AGES","Regular","Near Flat/Level","Gentle slope","Duplex","One story","Below Average","Average",65,6040,0,1152,0,82000,0,0,0,1,0,1,0,0,0,1,0,0,3,5,0.4230769230769231,0.4230769230769231,0.4889807162534435,-0.01729437797269323,-0.020925135348766184,-0.33355439843885853,-0.06847469831012379,-0.1730653767683788,-0.1373714704768934,-0.2292931876889067,-0.4485231193161687,-2.2122049892375033,-0.6916789096148176,-2.4103410492171577,-1.2451923378627636
41,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Average",84,8658,440,1324,1088,160000,0,0,0,1,0,1,0,0,0,1,0,0,6,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.0477741151779917,-0.008688345519604485,-0.02325820661939448,-0.03607077969671007,0.00500336300248864,-0.02905318135038321,0.6334011651344058,-0.18623171459578813,-0.1542534619988604,-0.36435936463100893,0.06968355805316835,-0.26335016057151134
42,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average",115,16905,308,1328,1350,170000,0,0,0,1,0,1,0,0,0,1,0,0,5,6,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.15393849873963553,0.029858944671799847,-0.11634706416523369,-0.03531720019407254,0.0478838867340762,-0.015166221205958823,2.0409551092145475,0.6400162665841119,-0.7716389201704533,-0.356747282189525,0.6668953660539271,-0.13747295835468415
43,"SPLIT FOYER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Split Foyer","Average","Good",70.04995836802665,9180,504,884,840,144000,0,0,0,0,1,1,0,0,0,1,0,0,5,7,0.5,0.48688524590163934,0.4864864864864865,7.786769706960002e-16,-0.0062484661113453525,0.021875784917982106,-0.11896452498683818,-0.03558583503351791,-0.05127231758146222,1.0323893988713526e-14,-0.13393373397545252,0.14508494196312405,-1.2016884331942403,-0.49561616860403834,-0.4647536841184349
44,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average",70.04995836802665,9200,308,938,938,130250,0,0,0,0,1,1,0,0,0,1,0,0,5,6,0.4906716417910448,0.48688524590163934,0.4889807162534435,7.786769706960002e-16,-0.006154984141680252,-0.11634706416523369,-0.10879120170123155,-0.019546555164450804,-0.07036688778004575,1.0323893988713526e-14,-0.13192997992869637,-0.7716389201704533,-1.0989253202342075,-0.2722315991991744,-0.6378348371665723
45,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average",70,7945,300,1150,1150,141000,0,0,0,1,0,1,0,0,0,1,0,0,5,6,0.4906716417910448,0.48688524590163934,0.4889807162534435,-0.00017109030146035523,-0.01202097773816533,-0.12198881310740577,-0.06885148806144255,0.015150662511490276,-0.05543840562478954,-0.0022683579985612887,-0.25766554636264505,-0.8090562206657014,-0.6954849508355595,0.21100848971747002,-0.502516844783483
46,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse End Unit","One story","Excellent","Average",61,7658,576,1752,1752,319900,0,0,0,1,0,1,0,0,0,1,0,0,9,5,0.5402298850574713,0.5526315789473685,0.4889807162534435,-0.030993008109679532,-0.013362444002859526,0.07265152539753077,0.04456222708550545,0.11367766742147391,0.19299931135896273,-0.410913051441183,-0.28641941693359585,0.48184064642035657,0.4501334566077708,1.5832279874902055,1.749426302875556
47,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Good","Average",48,12822,670,2149,1434,239686,0,0,0,0,1,1,0,0,0,1,0,0,7,5,0.5,0.48688524590163934,0.525974025974026,-0.07551355605488501,0.010774600564669511,0.13894207546805262,0.11935499272228013,0.06163184090756229,0.08160644925647695,-1.001177608636081,0.2309498779388431,0.9214939272395212,1.20563263892505,0.858367854115239,0.739714913013498
48,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average",84,11096,826,1656,1656,249700,0,0,0,1,0,1,0,0,0,1,0,0,8,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.0477741151779917,0.002707106582571308,0.24895617984040805,0.026476319022204774,0.09796571979463267,0.09551285114510352,0.6334011651344058,0.05802590370378702,1.6511312868968584,0.2674434780121567,1.3644022868487062,0.8657683433134288
49,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular","Near Flat/Level","Gentle slope","Two-family Conversion; originally built as one-family dwelling","Two story","Below Average","Average",33,4456,0,1452,736,113000,0,0,0,1,0,1,0,0,0,1,0,0,3,5,0.5,0.5161290322580645,0.49887640449438203,-0.12688341906858364,-0.02832890734624217,-0.33355439843885853,-0.011956235612309168,-0.052607111629262585,-0.09432189402917782,-1.6822520977071174,-0.6072204398192561,-2.2122049892375033,-0.1207727265035234,-0.732677344298996,-0.8549730109905993
50,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Good",66,7742,386,955,955,127000,1,0,0,1,0,1,0,0,0,1,0,0,5,7,0.4906716417910448,0.48688524590163934,0.4889807162534435,-0.013869720438446656,-0.012969819730266103,-0.061340011979055975,-0.10558848881502206,-0.016764231105531,-0.07488014982698368,-0.1838882217508376,-0.27800364993722,-0.40682024034178477,-1.0665739698579009,-0.23348121471057556,-0.6787449278870412
51,"2-STORY 1946 & NEWER","Moderately Irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Above Average","Above Average",70.04995836802665,13869,388,1470,794,177000,1,0,1,0,0,1,0,0,0,1,0,0,6,6,0.5117056856187291,0.48688524590163934,0.49887640449438203,7.786769706960002e-16,0.01566838167663754,-0.05992957474351296,-0.00856512785044029,-0.04311447660471267,-0.005445349104861753,1.0323893988713526e-14,0.33584640228652773,-0.39746591521797275,-0.08651835551684574,-0.6004701501614235,-0.049358916802905085
52,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Above Average",52,6240,528,1176,816,114500,1,0,0,1,0,1,0,0,0,1,0,0,6,6,0.5,0.48688524590163934,0.525974025974026,-0.06181492591789871,-0.019990315652115176,0.038801031744498324,-0.06395322129429862,-0.03951382194022822,-0.09223885000751417,-0.8195577448838047,-0.42848557884860716,0.2573368434488682,-0.646006414965914,-0.5503225937644132,-0.8360914306580752
